City,Room,Square,Price
Brno,1,42,1412500
Brno,2,51,1400000
Brno,2,73.3,2675000
Brno,1,45,1499975
Brno,1,39,1125000
Brno,3,112,37500
Brno,3,70,1374975
Brno,1,48,1162500
Brno,3,53,1475000
Brno,3,104,7450000
Brno,2,101,8250000
Brno,2,94,7250000
Brno,1,26,310000
Brno,2,43,542500
Brno,1,50,950000
Brno,2,62,712166
Brno,2,53,606412
Brno,2,49,564365
Brno,1,40,464601
Brno,1,36,414720
Brno,1,30,339149
Brno,1,41,360000
Brno,3,80,2500000
Brno,1,23,622500
Brno,1,23,622500
Brno,1,31,825000
Brno,3,206,5675000
Brno,1,48,1200000
Brno,3,136,7000000
Brno,1,43,1450000
Brno,3,102,34500
Brno,2,51,1475000
Brno,1,51,1475000
Brno,2,95,25000
Brno,3,84,2300000
Brno,1,33,393915
Brno,1,58,2000000
Brno,1,35,637500
Brno,1,50,1150000
Brno,1,33,2200000
Brno,1,41,379960
Brno,1,42,945000
Brno,3,78,2300000
Brno,2,90,45000
Brno,3,61.3,1250000
Brno,1,36,1375000
Brno,3,115,75000
Brno,2,48,1000000
Brno,2,40,1350000
Brno,1,50,837500
Brno,3,70,1550000
Brno,3,70,1375000
Brno,3,95,40000
Brno,2,65,2125000
Brno,2,55,932500
Brno,2,48,925000
Brno,2,100,2500000
Brno,2,44,825000
Brno,5,160,12250000
Brno,3,70,1575000
Brno,2,159,7475000
Brno,3,120,4500000
Brno,3,80,1200000
Brno,4,146,7500000
Brno,1,39,750000
Brno,2,76,1925000
Brno,4,110,3875000
Brno,2,49,950000
Brno,3,113,19500
Brno,3,100,24000
Brno,2,45,850000
Brno,3,68,1312500
Brno,1,25,687500
Brno,1,35,987500
Brno,1,39,925000
Brno,1,33,737500
Brno,3,77,1550000
Brno,2,54,1162500
Brno,3,64,2175000
Brno,3,56,1075000
Brno,1,37,1175000
Brno,2,47,925000
Brno,3,87,2750000
Brno,2,98,5875000
Brno,2,60,11700
Brno,4,120,30000
Brno,3,171,5000000
Brno,2,82,1825000
Brno,1,44,1500000
Brno,2,58,1250000
Brno,5,154,6250000
Brno,2,63,1850000
Brno,1,40,12000
Brno,1,54,1875000
Brno,2,61,1550000
Brno,3,84,2175000
Brno,1,41,1025000
Brno,1,50,1500000
Brno,1,38,925000
Brno,3,110,12700
Brno,1,32,1287500
Brno,3,56,1272500
Brno,2,46,775000
Brno,2,46,1037500
Brno,2,60,1550000
Brno,2,75,12000
Brno,3,64,1437500
Brno,3,60,1612500
Brno,3,84,11000
Brno,2,60,15000
Brno,2,74,14100
Brno,2,45,14000
Brno,2,45,1125000
Brno,3,105,16000
Brno,2,65,13500
Brno,2,44,1125000
Brno,2,60,2125000
Brno,3,60,1375000
Brno,2,80,15000
Brno,2,74,2850000
Brno,3,84,2850000
Brno,2,45,875000
Brno,1,39,937500
Brno,4,106,2625000
Brno,1,43,1075000
Brno,1,35,875000
Brno,3,132,37500
Brno,3,110,36000
Brno,1,31,1000000
Brno,2,50,825000
Brno,2,65,25000
Brno,1,33,800000
Brno,1,33,650000
Brno,1,34,775000
Brno,2,52,1450000
Brno,2,52,975000
Brno,2,46,825000
Brno,1,31,1000000
Brno,1,22,662500
Brno,1,43,687500
Brno,2,52,1500000
Brno,2,56,1375000
Brno,2,75,1025000
Brno,2,70,1550000
Brno,1,32,875000
Brno,3,84,1900000
Brno,2,72,1375000
Brno,3,82,1275000
Brno,2,58,1875000
Brno,3,97,1912500
Brno,2,56,1350000
Brno,3,56,1575000
Brno,3,75,3000000
Brno,2,58,2625000
Brno,3,77.4,1250000
Brno,1,55,14000
Brno,1,35,700000
Bydgoszcz,1,45.5,978250
Bydgoszcz,3,66.1,1512500
Bydgoszcz,4,141.1,4125000
Bydgoszcz,2,46,1200000
